Open Water; 11;  -1  354115.442929 3542
Developed (Open Space) 21  -1  17135108.411842 171392
Developed (Low Intensity) 22  -1  6548336.362640 65499
Developed (Medium Intensity) 23  -1  2595780.169458 25964
Developed (High Intensity) 24  -1  560266.217441 5604
Barren Land 31  -1  48588.397872 486
Deciduous Forest 41  -1  7985593.168845 79875
Evergreen Forest 42  -1  5399110.779215 54004
Mixed Forest 43  -1  5099082.421158 51003
Shrub/Scrub 52  -1  296429.217472 2965
Grassland/Herbaceious 71  -1  269535.639226 2696
Pasture/Hay 81  -1  1052248.739930 10525
Cultivated Crops 82  -1  113172.976114 1132
Woody Wetlands 90  -1  248340.700236 2484
Emergent herbaceous Wetlands 95  -1  5098.782493 51
